file,pe_mean,pe_std,pe_median,coord_mean,coord_std,coord_entropy,coord_bin_10_11,vacancies,file_hash,_n_atoms_metadata,_processing_mode,file_path
dump.fcc_ni.10.,-4.207094166666667,0.07303366566874821,-4.207535,12.166666666666666,1.203858530857692,1.2678856027498182,0.2916666666666667,16360,1437f513,24,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.10.
dump.fcc_ni.100.,-4.021536772908367,0.19695061144242285,-3.99972,11.06772908366534,1.736489108031132,1.738280786570352,0.398406374501992,16133,d6f17647,251,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.100.
dump.fcc_ni.1000.,-4.169297894736842,0.1281947805607375,-4.16004,12.210526315789474,1.2554291768983552,1.2672027228251999,0.3157894736842105,16346,0c1e0555,38,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.1000.
dump.fcc_ni.1001.,-4.17879,0.11033072930317929,-4.233985,12.13888888888889,0.8992942559196955,1.191798220277739,0.2222222222222222,16348,292a9c76,36,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.1001.
dump.fcc_ni.1002.,-4.179370277777777,0.11096698171685672,-4.2294,12.194444444444445,0.9507724512038902,1.1184328706578115,0.19444444444444445,16348,12dd7def,36,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.1002.
dump.fcc_ni.1003.,-4.182580555555556,0.11130290898379054,-4.251765,12.305555555555555,1.2832869503058921,1.2372346581837008,0.3055555555555556,16348,fa520cb5,36,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.1003.
dump.fcc_ni.1004.,-4.185986111111111,0.10616027436388752,-4.24889,12.416666666666666,1.0790207200446682,1.1092124841374915,0.16666666666666666,16348,aeda4fc2,36,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.1004.
dump.fcc_ni.1005.,-4.181968055555555,0.11354613443302478,-4.252025,12.222222222222221,1.0720104240194444,1.1796105044978988,0.2777777777777778,16348,3df7a2e6,36,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.1005.
dump.fcc_ni.1006.,-4.185147222222223,0.10795479796420378,-4.236155,12.38888888888889,1.0764432909959347,1.1349008759779433,0.19444444444444445,16348,f3570d17,36,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.1006.
dump.fcc_ni.1007.,-4.179943333333334,0.10620458666447241,-4.225255000000001,12.222222222222221,1.2897643441699198,1.2649623360282154,0.3055555555555556,16348,66dbb7d9,36,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.1007.
dump.fcc_ni.1008.,-4.183234722222222,0.10251942847190647,-4.22957,12.25,1.155731061153193,1.2121399402550241,0.16666666666666666,16348,479f03dc,36,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.1008.
dump.fcc_ni.1009.,-4.181501944444445,0.1089989813011229,-4.227935,12.527777777777779,1.1584746402332216,1.1150659836964298,0.16666666666666666,16348,56ebcd22,36,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.1009.
dump.fcc_ni.101.,-4.025833306772908,0.19775975998524448,-4.00716,11.215139442231076,1.6856838020453562,1.7219417548009182,0.4103585657370518,16133,442f294c,251,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.101.
dump.fcc_ni.1010.,-4.178318888888889,0.10569999034404001,-4.22715,12.333333333333334,0.9856107606091625,1.1263989931059764,0.19444444444444445,16348,365b6221,36,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.1010.
dump.fcc_ni.1011.,-4.179589722222222,0.10903437393739937,-4.22781,12.333333333333334,1.0690449676496976,1.1536050937358038,0.2222222222222222,16348,24f9cf47,36,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.1011.
dump.fcc_ni.1012.,-4.182409166666667,0.11394712007581165,-4.24606,12.0,1.121223821162776,1.2865222610315206,0.3611111111111111,16348,8efeab24,36,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.1012.
dump.fcc_ni.1013.,-4.1826961111111105,0.10626701660783637,-4.2405349999999995,12.277777777777779,1.0852547064066471,1.0761302836653792,0.25,16348,0414fcc3,36,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.1013.
dump.fcc_ni.1014.,-4.189844166666667,0.11242829253414306,-4.235025,12.583333333333334,1.2276574673510756,1.1038309357339924,0.19444444444444445,16348,ac036633,36,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.1014.
dump.fcc_ni.1015.,-4.186709722222222,0.10134889984563537,-4.241265,12.333333333333334,1.1212238211627763,1.1721473202043315,0.25,16348,3e53e419,36,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.1015.
dump.fcc_ni.1016.,-4.1773211111111115,0.10927383586405505,-4.224864999999999,12.527777777777779,1.081958835000168,1.0712905079873842,0.19444444444444445,16348,7a53f1b1,36,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.1016.
dump.fcc_ni.1017.,-4.179553611111112,0.11058542342984784,-4.22116,12.055555555555555,1.0404516723710346,1.2411706880116142,0.3055555555555556,16348,21cc9018,36,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.1017.
dump.fcc_ni.1018.,-4.184733611111111,0.11004323589656616,-4.2401800000000005,12.11111111111111,1.0630892390381583,1.2357752571175693,0.2777777777777778,16348,a010ccb0,36,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.1018.
dump.fcc_ni.1019.,-4.176813055555555,0.10260061748127873,-4.20822,12.88888888888889,1.1155467020454344,0.9126303865960587,0.08333333333333333,16348,7b5459c8,36,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.1019.
dump.fcc_ni.102.,-4.024265697211155,0.19804669874100891,-4.00959,11.294820717131474,1.687819026948412,1.6984835759941248,0.35856573705179284,16133,36ae52ba,251,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.102.
dump.fcc_ni.1020.,-4.175948611111112,0.10417270111701948,-4.219195,12.25,1.155731061153193,1.183280884121925,0.19444444444444445,16348,69ca8977,36,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.1020.
dump.fcc_ni.1021.,-4.16045288888889,0.11933495667509363,-4.22371,12.2,1.1599373023808421,1.2457215677760127,0.24444444444444444,16339,a6a8dd3d,45,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.1021.
dump.fcc_ni.1022.,-4.160251111111111,0.12437398761985823,-4.22104,12.133333333333333,1.3073220372543672,1.346076075980625,0.2222222222222222,16339,65a6ff52,45,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.1022.
dump.fcc_ni.1023.,-4.158550666666666,0.1198465114863781,-4.19387,12.133333333333333,1.3584750809104102,1.3574091555070193,0.26666666666666666,16339,51b0b8fa,45,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.1023.
dump.fcc_ni.1024.,-4.163993777777778,0.12038172755275553,-4.20703,12.28888888888889,1.5318174324849052,1.29063467736745,0.37777777777777777,16339,a8704354,45,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.1024.
dump.fcc_ni.1025.,-4.165003777777778,0.11935733683296804,-4.21377,12.222222222222221,1.241130146440751,1.23072928596551,0.24444444444444444,16339,aa0466df,45,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.1025.
dump.fcc_ni.1026.,-4.1740975,0.11638494560454153,-4.22853,12.136363636363637,1.1121090186418814,1.2475602673280923,0.29545454545454547,16340,48f85380,44,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.1026.
dump.fcc_ni.1027.,-4.165909090909091,0.12371914468644299,-4.225035,12.045454545454545,1.3110362571848564,1.3284313475987257,0.2727272727272727,16340,c0a55998,44,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.1027.
dump.fcc_ni.1028.,-4.161532045454546,0.12694497186484122,-4.240254999999999,12.136363636363637,1.3569958113919538,1.3402277439734196,0.25,16340,92fe87c8,44,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.1028.
dump.fcc_ni.1029.,-4.179481818181819,0.1247028370329208,-4.2607099999999996,12.295454545454545,1.4237119099512365,1.2996779049864153,0.3181818181818182,16340,2ab30336,44,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.1029.
dump.fcc_ni.103.,-4.025543944223108,0.1952265794854299,-4.00298,11.195219123505977,1.633933001011005,1.6946945510772617,0.4103585657370518,16133,80c5284d,251,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.103.
dump.fcc_ni.1030.,-4.1724843181818185,0.12180456384693848,-4.24867,12.318181818181818,1.0063225076630133,1.150338742352066,0.20454545454545456,16340,fb3efe28,44,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.1030.
dump.fcc_ni.1031.,-4.161124565217391,0.1371160252196255,-4.247295,12.152173913043478,1.1731702785254403,1.2664737737938263,0.30434782608695654,16338,d9f97f4e,46,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.1031.
dump.fcc_ni.1032.,-4.16198891304348,0.1291674621262089,-4.2299050000000005,11.978260869565217,1.105323088709714,1.3333345627204929,0.30434782608695654,16338,48c3f051,46,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.1032.
dump.fcc_ni.1033.,-4.161082608695651,0.1257828495540325,-4.225065,12.304347826086957,1.190136597526917,1.2055108313022238,0.2826086956521739,16338,414704fb,46,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.1033.
dump.fcc_ni.1034.,-4.164032608695652,0.1309887794929149,-4.23103,12.217391304347826,1.2276996280897028,1.291321237769813,0.2391304347826087,16338,58846c5a,46,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.1034.
dump.fcc_ni.1035.,-4.162790434782608,0.13072147952305177,-4.239695,12.347826086956522,1.3859195311633008,1.2413084849395697,0.2608695652173913,16338,a0d6e114,46,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.1035.
dump.fcc_ni.1036.,-4.142475833333333,0.14548720873559215,-4.17595,11.8125,1.3785013447388468,1.4738716630719726,0.3333333333333333,16336,89ff2f26,48,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.1036.
dump.fcc_ni.1037.,-4.147985208333334,0.13410896068542885,-4.15965,11.75,1.5642277681457704,1.5378860728172863,0.3333333333333333,16336,b8a0d1a7,48,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.1037.
dump.fcc_ni.1038.,-4.141910416666667,0.13500585218140337,-4.17032,12.25,1.2964764031133722,1.3008547974489497,0.25,16336,2cccb6f8,48,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.1038.
dump.fcc_ni.1039.,-4.144315,0.134242012227203,-4.152240000000001,12.104166666666666,1.3874756403203157,1.3545333993782922,0.2916666666666667,16336,63341951,48,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.1039.
dump.fcc_ni.104.,-4.020527569721115,0.1984976152503352,-4.00628,11.0,1.6443843832875573,1.7711852451624928,0.3745019920318725,16133,59a6dcd5,251,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.104.
dump.fcc_ni.1040.,-4.144777708333334,0.13424027740441855,-4.169665,12.104166666666666,1.4327415073733136,1.3391988253290865,0.3125,16336,4b480a10,48,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.1040.
dump.fcc_ni.1041.,-4.143048000000001,0.1299310671016821,-4.15218,11.933333333333334,1.1560119533826787,1.3215255110778834,0.37777777777777777,16339,0dc2935d,45,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.1041.
dump.fcc_ni.1042.,-4.145793555555556,0.13272333141052128,-4.14415,11.933333333333334,1.513574937328539,1.4599314045060894,0.26666666666666666,16339,69606ea3,45,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.1042.
dump.fcc_ni.1043.,-4.139298222222222,0.12964404670777468,-4.15443,12.266666666666667,1.3211565181516327,1.2995071989687927,0.24444444444444444,16339,fad00397,45,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.1043.
dump.fcc_ni.1044.,-4.140023333333334,0.1338575415575013,-4.14289,12.133333333333333,1.439696937805757,1.378556859125044,0.2,16339,71d9bf6c,45,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.1044.
dump.fcc_ni.1045.,-4.142426888888889,0.12516273515675178,-4.14898,12.444444444444445,1.1785113019775793,1.1634299615976713,0.2,16339,9d1dd7f2,45,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.1045.
dump.fcc_ni.1046.,-4.147791458333334,0.13998038078320474,-4.1588449999999995,12.166666666666666,1.3421693036708566,1.3071632728150753,0.22916666666666666,16336,d82d1dea,48,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.1046.
