file,pe_min,pe_p10,pe_p25,pe_median,pe_p75,pe_p90,pe_max,pe_mean,pe_std,pe_skew,pe_kurt,stress_I1_min,stress_I1_p10,stress_I1_p25,stress_I1_median,stress_I1_p75,stress_I1_p90,stress_I1_max,stress_I1_mean,stress_I1_std,stress_I1_skew,stress_I1_kurt,stress_vm_min,stress_vm_p10,stress_vm_p25,stress_vm_median,stress_vm_p75,stress_vm_p90,stress_vm_max,stress_vm_mean,stress_vm_std,stress_vm_skew,stress_vm_kurt,sxx_min,sxx_p10,sxx_p25,sxx_median,sxx_p75,sxx_p90,sxx_max,sxx_mean,sxx_std,sxx_skew,sxx_kurt,syy_min,syy_p10,syy_p25,syy_median,syy_p75,syy_p90,syy_max,syy_mean,syy_std,syy_skew,syy_kurt,szz_min,szz_p10,szz_p25,szz_median,szz_p75,szz_p90,szz_max,szz_mean,szz_std,szz_skew,szz_kurt,sxy_min,sxy_p10,sxy_p25,sxy_median,sxy_p75,sxy_p90,sxy_max,sxy_mean,sxy_std,sxy_skew,sxy_kurt,sxz_min,sxz_p10,sxz_p25,sxz_median,sxz_p75,sxz_p90,sxz_max,sxz_mean,sxz_std,sxz_skew,sxz_kurt,syz_min,syz_p10,syz_p25,syz_median,syz_p75,syz_p90,syz_max,syz_mean,syz_std,syz_skew,syz_kurt,coord_min,coord_p10,coord_p25,coord_median,coord_p75,coord_p90,coord_max,coord_mean,coord_std,coord_skew,coord_kurt,voro_vol_min,voro_vol_p10,voro_vol_p25,voro_vol_median,voro_vol_p75,voro_vol_p90,voro_vol_max,voro_vol_mean,voro_vol_std,voro_vol_skew,voro_vol_kurt,frac_coord_le_11,frac_coord_le_10,frac_coord_le_9,frac_vm_top5,frac_pe_top5,coord_bin_4_5,coord_bin_6_7,coord_bin_8_9,coord_bin_10_11,coord_bin_12,coord_below_8,coord_perfect_12,pe_bin_0,pe_bin_1,pe_bin_2,pe_bin_3,pe_bin_4,pe_bin_5,pe_bin_6,pe_bin_7,pe_bin_8,pe_bin_9,pe_below_min,pe_above_max,pe_absolute_min,file_path
dump.ni_fcc.001000,-4.47159,-4.435518,-4.42514,-4.4119,-4.396145,-4.37868,-3.64201,-4.405697249276612,0.048939754598195676,9.241793742529916,115.7801952825799,-4157680.0,-1371449.0,-677117.9,60309.0,785232.15,1418914.4000000001,5515500.0,40657.900469482236,1089666.2090260522,-0.06885555927993904,0.12210570645413865,127620.02308724912,656726.6858804655,852089.111160326,1095009.4416679703,1379169.736014531,1662230.3893254334,3652198.3544917926,1135112.6661855185,396020.02414315304,0.5920995484431687,0.6170265198215357,-1984000.0,-603265.4,-293029.5,26530.4,338857.0,597748.6000000008,1782540.0,11828.24571925137,470978.3327541294,-0.18594838803946764,0.1217523982388391,-2080310.0,-594187.7999999999,-286889.5,28798.0,336271.0,602004.0,1984120.0,14981.552135750786,466871.66565770644,-0.21558635456767694,0.09879061951075441,-2526630.0,-590478.0,-295375.5,28975.7,333759.5,602469.8,2355520.0,13848.102614480084,470883.79017536796,-0.2017022869859103,0.2889101512925043,-1500110.0,-433458.39999999997,-227339.5,-3667.84,222843.5,432890.6000000005,1504150.0,-1188.1779325494067,340817.2914405214,0.02522229338585365,0.17704119295644105,-1547800.0,-430459.19999999995,-227269.5,-3372.86,224982.5,428715.0,1962610.0,-1089.056250754172,340340.2719315999,0.020300238554293106,0.22336656542832412,-1476320.0,-432353.2,-225184.5,-1077.16,224299.0,430163.60000000015,1616670.0,-484.3893635720001,341963.1151849004,0.0017512887449940662,0.2848583999405263,7.0,13.0,13.0,14.0,15.0,15.0,17.0,13.943237086745059,0.9613790925077781,-0.40378807918452614,1.8609859265815936,10.3871,10.8212,10.933,11.0597,11.1883,11.30718,49.9721,11.15308434402512,1.4416933718655358,18.454606327211778,372.1451591700589,0.005910238256479714,0.0033245090192698394,0.0017853844733115804,0.050052330234562584,0.050052330234562584,0.0,0.00018469494551499107,0.0016006895277965894,0.004124853783168134,0.9940897617435203,0.00018469494551499107,0.0448193067783045,0.002585729237209875,0.0,0.001046604691251616,0.0011697346549282767,0.0,0.0,0.0,0.0,0.0,0.0,0.9951979314166103,0.0,-4.47159,/home/santi-simaf/Escritorio/ENERGY.PY-V2/databases/results_plus_plus/dump.ni_fcc.001000
dump.ni_fcc.002000,-4.4736,-4.43643,-4.42594,-4.41254,-4.39678,-4.3792420000000005,-3.63581,-4.406317894477621,0.04912045748104194,9.24565916846596,115.68836289472311,-4623086.0,-1376933.58,-693930.9,37734.100000000006,751068.55,1389511.9200000002,5824150.0,21231.494519983997,1074554.0874242585,-0.0797443077669069,0.051576494469039336,91571.65574373328,647126.3742016337,843331.7202499262,1085911.554905472,1357388.8120591845,1629655.4644678123,3079944.0534785693,1120262.1453619413,392092.22389298474,0.6085910086422973,0.6350382552126628,-1942940.0,-596646.2,-298587.5,20084.3,326563.0,590386.4000000004,2253430.0,5556.391646752447,464844.03304768325,-0.18526325124338391,0.07109977449958826,-2037860.0,-593540.4,-297220.5,22695.4,326785.0,592232.8000000002,1778220.0,8236.769204648157,463184.70613958914,-0.1690959792420342,0.011987024150055703,-1839580.0,-599664.2,-301256.0,28351.1,329066.0,588288.6000000002,1866140.0,7438.333668583389,466410.83260155894,-0.1891152936728639,0.09055246877622158,-1380000.0,-431420.8,-226985.0,78.3746,218330.5,426034.2,1582400.0,-1751.3103761312564,338887.4304152794,0.010011057931014429,0.2706722842819218,-1367230.0,-423358.4,-220008.5,-664.276,217074.5,419585.8000000001,1473110.0,-413.87472248992833,333385.61546816526,0.0019033243402433984,0.26393574944933595,-1599870.0,-419051.0,-220352.5,-1729.79,221438.0,422540.60000000015,1525460.0,556.0168011574208,334617.7557259981,0.016810955945610363,0.2839319504647979,7.0,13.0,13.0,14.0,15.0,15.0,17.0,13.956781382749492,0.9759975126023471,-0.42061936389772536,2.0527030178138763,10.395,10.8169,10.92915,11.0526,11.179,11.300180000000001,45.4514,11.144753044388352,1.4228769761519968,18.495534254342854,370.5067119221627,0.005356153419934741,0.004001723819491473,0.0021547743643415625,0.050052330234562584,0.050052330234562584,0.0,6.156498183833036e-05,0.002093209382503232,0.003201379055593179,0.9946438465800652,6.156498183833036e-05,0.043834267068891215,0.002770424182724866,0.0,0.000861909745736625,0.001354429600443268,0.0,0.0,0.0,0.0,0.0,0.0,0.9950132364710952,0.0,-4.4736,/home/santi-simaf/Escritorio/ENERGY.PY-V2/databases/results_plus_plus/dump.ni_fcc.002000
dump.ni_fcc.003000,-4.4795,-4.43584,-4.42565,-4.41234,-4.39631,-4.378182000000001,-3.64357,-4.405836153419934,0.04943903660898076,9.183905484570115,113.6182305578943,-4902960.0,-1387728.76,-704891.6,46770.19999999995,778057.45,1424651.000000001,5639550.0,26744.082783703747,1103585.0204625812,-0.10370602614304596,0.07991261710120989,142790.47010406543,653424.1389658728,849124.0783024214,1085367.1591936068,1359244.5950403516,1625819.4176657002,3638265.994511362,1122070.6588357005,387195.65248453873,0.5864174461368811,0.6212834420500761,-2148880.0,-605484.4,-294674.5,24762.1,339746.0,597687.4000000001,1803860.0,9107.676168946624,470895.2544375587,-0.23992520726745717,0.11027543823097563,-2061940.0,-613072.8,-300292.5,23580.6,338090.5,602355.0000000001,2001230.0,8835.035535713847,475510.1422562552,-0.19686518954857352,0.06342359276283238,-2300850.0,-614884.0,-297967.5,23354.3,332261.0,614199.4,2063160.0,8801.37107904328,478323.99192800204,-0.19869394667791554,0.13679177836030165,-1742060.0,-423572.8,-221011.5,-416.202,218257.0,423925.6000000001,1289070.0,-612.8734096041369,334006.1127754608,0.0016643226362609274,0.2522869189167847,-1455030.0,-426439.0,-222411.5,6172.47,220421.5,424063.6000000001,1584730.0,861.0367063042555,335405.0679071283,0.0007355429722967213,0.21305208181270174,-1314310.0,-422921.6,-220136.0,2491.63,220758.5,422311.2000000001,1458380.0,958.3999307824904,332086.96989520045,0.006097623666750431,0.1881391774522454,8.0,13.0,13.0,14.0,15.0,15.0,18.0,13.969956288862894,0.9684513204920808,-0.40896141854414997,1.8394072602227687,10.3692,10.81832,10.9278,11.0553,11.18655,11.30788,47.6395,11.148090771409223,1.4022754859221105,18.207528826840377,361.71357794486073,0.005540848365449732,0.004063288801329804,0.0021547743643415625,0.050052330234562584,0.050052330234562584,0.0,0.0,0.0021547743643415625,0.0033860740011081697,0.9944591516345502,0.0,0.04284922735947793,0.0028319891645631964,6.156498183833036e-05,0.0011081696730899464,0.0011081696730899464,0.0,0.0,0.0,0.0,0.0,0.0,0.9948901065074186,0.0,-4.4795,/home/santi-simaf/Escritorio/ENERGY.PY-V2/databases/results_plus_plus/dump.ni_fcc.003000
dump.ni_fcc.004000,-4.47529,-4.436666000000001,-4.42622,-4.41317,-4.3972750000000005,-4.37961,-3.64789,-4.406750315828357,0.048910729736120026,9.225971462008562,115.33768203085395,-4281820.0,-1369571.0,-690329.65,45171.7,756325.65,1384232.600000001,4573700.0,19075.241150201316,1077638.3623550585,-0.1301508428245222,0.019576804426280514,100325.09831138967,648455.3618620931,838142.663568119,1071321.8682244846,1349614.3058817019,1629372.9135870284,3687974.0650579417,1112496.2346026374,387768.43392132444,0.6032942640451396,0.5954193416264713,-2296020.0,-601606.4,-299265.5,24340.1,326727.0,594658.4000000008,1711730.0,6523.579772066121,465865.2479489727,-0.19922872639658215,0.0679983756243927,-2285880.0,-591632.0,-300273.0,23286.6,329798.5,591853.8,1654390.0,6249.394453136735,465138.00486223673,-0.2539103435074586,0.14734324677488697,-2074250.0,-607085.4,-301218.5,23694.9,329203.0,593225.4,1840860.0,6302.266924998461,467309.63108918496,-0.2086039450288268,0.07908782227836397,-1354590.0,-412655.0,-217033.5,-3728.27,215537.5,416249.20000000054,1671670.0,-921.5122152496455,330176.9518973999,0.003975616445762974,0.30620886478574416,-1393180.0,-425961.0,-222476.0,-1174.08,221473.5,415755.80000000034,1392350.0,-2685.568904217201,333798.491170784,-0.03217437691754873,0.2052198489685768,-1394200.0,-419034.6,-219848.0,1783.2,220699.5,420341.4,1660060.0,1050.453656670565,331539.4435525619,0.0019064461232580947,0.25398725312242076,8.0,13.0,13.0,14.0,15.0,15.0,18.0,13.959982761805085,0.9633727129540043,-0.31055617235578314,1.4091834578167046,10.3487,10.8174,10.9268,11.0513,11.1778,11.29974,47.8933,11.142361878963245,1.4020187357852554,18.607431212109216,378.59221393991965,0.00517145847441975,0.0030782490919165177,0.0017853844733115804,0.050052330234562584,0.050052330234562584,0.0,0.0,0.0017853844733115804,0.0033860740011081697,0.9948285415255802,0.0,0.04297235732315459,0.002585729237209875,0.0,0.0011697346549282767,0.001046604691251616,0.0,0.0,0.0,0.0,0.0,0.0,0.9951979314166103,0.0,-4.47529,/home/santi-simaf/Escritorio/ENERGY.PY-V2/databases/results_plus_plus/dump.ni_fcc.004000
dump.ni_fcc.005000,-4.46663,-4.43612,-4.425695,-4.41218,-4.39609,-4.378132,-3.59563,-4.405836559133165,0.0491299621173263,9.054751511196685,111.62789684377402,-4225060.0,-1440289.6,-729622.1,42815.1,777982.8500000001,1404220.0000000002,6432630.0,14275.20993046851,1113795.4891599528,-0.13771981353703777,0.10146743844717454,68601.8781744844,656074.059533348,853245.7923823476,1093178.7268634073,1370341.7445545415,1642651.1246710364,3206499.0610933476,1128975.9015897182,390346.9478174065,0.5736758883018588,0.5848297955731936,-2355390.0,-616743.0,-301943.5,25688.6,336479.0,604483.4,2293410.0,6287.981502123993,478282.22792911896,-0.2253938755138455,0.16484330302774053,-1863390.0,-611364.2,-314731.0,26200.2,337388.0,592377.8000000003,2391240.0,3504.551312516162,474614.1808032641,-0.20975192775246335,0.06337808753040886,-2503800.0,-625967.8,-305248.0,24838.3,337733.0,604415.4,1747980.0,4482.677115828356,481011.2894029075,-0.24327351456472496,0.12239884044479332,-1309540.0,-428572.6,-223371.5,958.963,216275.5,422462.80000000016,1619290.0,-444.5120366434771,334512.5250587972,0.00837705842657259,0.22772444958141103,-1461970.0,-430536.6,-223076.0,-3117.67,218073.0,421351.60000000003,1606300.0,-2692.302927691929,335142.58692778664,-0.0031971594285202126,0.17993789366839463,-1328090.0,-432523.39999999997,-224630.5,-424.832,221931.5,424143.6000000001,1462570.0,-1584.2371744074367,339870.583218815,0.009196221393851657,0.26475594238286737,8.0,13.0,13.0,14.0,15.0,15.0,17.0,13.964784830388474,0.9618334386909997,-0.366481616546958,1.5939942748110503,10.3577,10.80992,10.9268,11.0545,11.18375,11.30776,46.0752,11.144945804346488,1.3990554548654575,18.13076571335658,357.50859383903435,0.005417718401773072,0.0037554638921381517,0.0018469494551499107,0.050052330234562584,0.050052330234562584,0.0,0.0,0.0018469494551499107,0.0035707689466231607,0.9945822815982269,0.0,0.043218617250507914,0.002708859200886536,0.0,0.001354429600443268,0.0008003447638982947,6.156498183833036e-05,0.0,0.0,0.0,0.0,0.0,0.9950748014529336,0.0,-4.46663,/home/santi-simaf/Escritorio/ENERGY.PY-V2/databases/results_plus_plus/dump.ni_fcc.005000
dump.ni_fcc_r0.3_c7.4_7.5_8.9.001000,-4.46848,-4.4357,-4.42543,-4.41251,-4.39682,-4.380912,-4.24779,-4.409802889580663,0.022496321125206935,0.8788562337685942,1.9720539400421848,-4537230.0,-1338195.6400000001,-678323.0,60090.100000000006,767036.65,1397715.6,4037924.0,38364.47193051944,1070955.0436426254,-0.09825180407830351,0.02334339495436799,143236.83896704088,656335.615733974,851260.7399044975,1094930.0229151633,1374488.5553898946,1658518.5555727326,3652030.097452944,1133434.6385767322,395629.94946320896,0.585948102047636,0.576889272146802,-1983100.0,-599919.6,-294172.0,25623.7,337094.5,598703.4000000003,1698260.0,10574.940305066228,467278.3571979913,-0.2059846904866125,0.04489442958485723,-1944070.0,-589873.0,-286547.0,29084.2,336115.0,597728.2000000001,1508240.0,14999.816859677714,461525.40245073853,-0.20634174008602554,0.058864139637279767,-2331230.0,-582738.2,-288940.5,26603.2,332634.5,596390.0000000006,1801210.0,12789.714765775501,463119.24286023097,-0.21266425413165993,0.15517610145876137,-1490710.0,-431082.2,-228706.5,-3279.1,226602.5,429309.60000000027,1430970.0,-1307.360716570225,340626.64396067907,0.014794583915809047,0.1935784134184524,-1550610.0,-437545.6,-227424.0,-3021.86,228555.5,432639.60000000003,1936810.0,-1191.858292708296,341247.5117165712,-0.002370047447925372,0.1993907758806408,-1549670.0,-430659.8,-223654.5,-2997.12,219998.0,427990.2000000002,1461900.0,-1791.9972562204723,340848.835189101,0.006570709855902722,0.31961352998370884,11.0,13.0,13.0,14.0,15.0,15.0,17.0,13.961057193432216,0.9097725808056909,0.0704593125504853,-0.20662527570457456,10.4132,10.824819999999999,10.93265,11.0575,11.1826,11.2936,12.481,11.0598318012574,0.1856794465021583,0.19426918697890772,0.5729608552680596,6.103888176768602e-05,0.0,0.0,0.05005188304950253,0.05011292193127022,0.0,0.0,0.0,6.103888176768602e-05,0.9999389611182323,0.0,0.043886955990966245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-4.46848,/home/santi-simaf/Escritorio/ENERGY.PY-V2/databases/results_plus_plus/dump.ni_fcc_r0.3_c7.4_7.5_8.9.001000
dump.ni_fcc_r0.3_c7.4_7.5_8.9.002000,-4.46881,-4.436637999999999,-4.426315,-4.41293,-4.39758,-4.381162000000001,-4.25074,-4.410405701641945,0.0223891595337207,0.80169611145623,1.3867495703934156,-4428893.0,-1363502.0,-700121.4,45958.70000000001,749061.5,1362031.0000000002,3811650.0,16407.2762434493,1066844.3730783057,-0.12038499730460593,-0.029031081295287642,106538.87448165717,653255.6898078396,840269.2248919888,1078241.8960127176,1351061.0118413246,1630837.675830676,2941088.9422659,1117507.8989781032,386813.48871851567,0.5976255580587714,0.5365457708644557,-1858250.0,-592009.2,-303721.5,19284.7,327562.0,588015.4,1627940.0,5658.867409473234,460942.73894618097,-0.19318543914846287,-0.010858838098043666,-2260910.0,-595555.6,-296972.0,21135.7,326740.0,590905.2000000001,1587980.0,5909.359082817557,462605.4857782734,-0.19555571826276136,0.062132663853263104,-1782850.0,-609374.4,-297810.5,21216.3,325078.0,590534.6000000001,1518550.0,4839.049751158518,463943.19406768214,-0.18136326445303852,-0.015248952476311306,-1322640.0,-430890.6,-226847.5,226.578,222786.5,421911.60000000015,1425980.0,-1786.511616413355,336507.010055394,-0.007319911288780396,0.15770248915155305,-1564940.0,-415587.6,-219226.0,28.6179,217779.0,425117.0000000003,1475050.0,829.8162966306542,330812.0841834099,0.027665949474799122,0.22935973457698333,-1486050.0,-423741.6,-218639.5,-383.897,226002.0,418898.0000000003,1367380.0,1140.0728211682845,335158.1627499624,0.007539143256284474,0.23834256387417563,12.0,13.0,13.0,14.0,15.0,15.0,18.0,13.974974058475249,0.9256231049076284,0.06204896023666935,-0.15772262212876198,10.4166,10.81682,10.9264,11.0504,11.1763,11.289380000000001,12.3733,11.05291690777025,0.18540509361899915,0.17701965755840038,0.524745171379633,0.0,0.0,0.0,0.05005188304950253,0.05005188304950253,0.0,0.0,0.0,0.0,1.0,0.0,0.04718305560642129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-4.46881,/home/santi-simaf/Escritorio/ENERGY.PY-V2/databases/results_plus_plus/dump.ni_fcc_r0.3_c7.4_7.5_8.9.002000
dump.ni_fcc_r0.3_c7.4_7.5_8.9.003000,-4.46886,-4.435817999999999,-4.42564,-4.41234,-4.39691,-4.380552000000001,-4.23794,-4.409743901605323,0.02265186323860098,0.9028901408132888,2.1510519209686705,-4242130.0,-1387975.0,-712661.865,31970.5,774800.7,1393781.2400000002,4209860.0,13577.226719996337,1091445.8869873367,-0.13900845838702752,0.024376309745746116,144744.63982939057,654798.678312865,843444.0564101329,1085971.1239496565,1366776.5828644545,1643426.0330093578,3718165.312419285,1125701.0476201682,391206.94134178484,0.5901392436084258,0.5671753962714403,-2154920.0,-611007.2,-294326.0,24479.4,334072.5,580807.2000000001,1550630.0,4156.190018561923,468662.56994710694,-0.2645350100931667,0.15355165517197422,-2083360.0,-612745.2,-303600.5,20745.4,332419.5,597456.8000000002,1482960.0,5254.152901043764,470247.1631893143,-0.21379569026553086,0.023377140333592283,-1974100.0,-608284.6,-307927.0,20037.3,327712.5,597809.4000000001,1611250.0,4166.883800390648,474877.85152735165,-0.20865236035121928,0.10807017878727532,-1623900.0,-425986.0,-222425.0,-1569.05,223625.0,421406.60000000003,1403210.0,-48.642152230971746,333464.6417777307,-0.0008371599602644916,0.16128806260187334,-1395100.0,-424796.0,-221543.0,1592.7,225395.5,421548.60000000003,1725070.0,1468.429555767319,335599.3163415651,0.014663132207218073,0.27198420589569716,-1432870.0,-427798.2,-223356.5,-514.173,223095.5,429330.0,1253740.0,-510.63939479338364,339134.20049880067,-0.01580838135319905,0.17796523594538094,12.0,13.0,13.0,14.0,15.0,15.0,17.0,13.994872733931514,0.9176696169764794,0.05800202007142454,-0.24809696710589257,10.4161,10.8177,10.9263,11.0513,11.1816,11.29808,12.2741,11.055198767014588,0.18875324312466843,0.13142730961863025,0.21655790568229127,0.0,0.0,0.0,0.05005188304950253,0.05005188304950253,0.0,0.0,0.0,0.0,1.0,0.0,0.04138436183849112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-4.46886,/home/santi-simaf/Escritorio/ENERGY.PY-V2/databases/results_plus_plus/dump.ni_fcc_r0.3_c7.4_7.5_8.9.003000
dump.ni_fcc_r0.3_c7.4_7.5_8.9.004000,-4.46814,-4.43638,-4.426455,-4.4135,-4.39837,-4.382382000000001,-4.23075,-4.410919185741316,0.022056332198401828,0.8969429471034763,2.13649100936996,-4042320.0,-1359329.3,-674005.45,57615.20000000001,768156.0,1380802.8000000003,3831490.0,30296.32137051334,1070994.2124903058,-0.1429241130762962,-0.02219391608752641,133896.62961172697,641321.4196931864,833027.8476536935,1070349.7249324634,1343865.8291867087,1617256.5234045542,3138271.993499448,1106641.226581983,384598.295242209,0.5666025842021195,0.4974144467562045,-2150310.0,-600440.2,-296148.5,29741.1,335682.0,597340.2000000002,1767810.0,11397.325859915765,466985.1429895066,-0.22260003502233658,0.04724363990012037,-1794000.0,-590323.4,-288556.5,30740.4,326936.5,582827.6000000001,1624970.0,8929.28559593603,461425.29368046555,-0.25507747422836474,0.07261167451377393,-1930430.0,-583400.6,-296996.5,26296.4,334330.0,580860.8,1528670.0,9969.709914661538,460722.55210587993,-0.21392583027020254,0.06443683518516918,-1230940.0,-414955.0,-219350.5,983.403,217423.0,417666.0000000001,1430710.0,-580.693039620338,329946.25435696525,0.01186375265322266,0.25069333115290116,-1312350.0,-419243.0,-219673.0,1917.87,220119.0,418033.8000000002,1231620.0,-1169.4228579689316,328421.253156374,-0.036169411117306,0.11564516140195824,-1557310.0,-416778.2,-219473.0,1869.29,222361.5,419221.80000000005,1493810.0,838.0734809277902,332210.87117537484,-0.0069183976423354025,0.22668862815895485,12.0,13.0,13.0,14.0,15.0,15.0,17.0,13.977903924800097,0.9123470138411448,0.05804877981338302,-0.22851636060669112,10.3724,10.8194,10.9267,11.0526,11.1766,11.28908,12.4779,11.054131190868583,0.18498530840796396,0.11853150523133536,0.35299128236485133,0.0,0.0,0.0,0.05005188304950253,0.05005188304950253,0.0,0.0,0.0,0.0,1.0,0.0,0.042666178355612525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-4.46814,/home/santi-simaf/Escritorio/ENERGY.PY-V2/databases/results_plus_plus/dump.ni_fcc_r0.3_c7.4_7.5_8.9.004000
dump.ni_fcc_r0.3_c7.4_7.5_8.9.005000,-4.47378,-4.436018,-4.42586,-4.41266,-4.39684,-4.380332,-4.26603,-4.409887558444729,0.022687072311414473,0.8095511201865252,1.4012020227331141,-5721470.0,-1381390.5999999999,-688756.5,54060.1,776835.5,1398605.1600000001,4130750.0,26935.681939322465,1089625.4868113243,-0.1405622251298933,0.11128347320969612,135116.31625728554,651644.3736720561,842565.1950184335,1088748.972185214,1362616.0313176087,1640822.175281979,3273210.363842054,1124717.0984460132,391888.77552658465,0.589502905826405,0.5918803846163478,-1957130.0,-604270.4,-304888.5,27548.2,342342.0,597628.8,1791200.0,8075.806561893427,471477.4836622567,-0.22273161800420616,0.05193373961097514,-2234230.0,-596131.4,-294490.0,24598.3,334519.0,594256.4000000001,1638760.0,10469.34716431789,467836.2036804379,-0.22480326442946252,0.09564745848565703,-2451080.0,-610364.0,-300109.0,26617.7,330422.5,608188.4000000001,1507460.0,8390.528213111154,472895.49404919246,-0.19491226349735127,0.06145916311948918,-1405220.0,-419917.6,-224097.0,1772.5,220558.5,416581.4000000001,1292480.0,-1651.9135234828798,334817.6715105445,-0.03682206197035419,0.283023523240848,-1428790.0,-428917.0,-219408.0,2393.47,219525.5,422991.40000000014,1536230.0,-670.8838905206616,334833.4833356321,0.005874760906009525,0.2130991302128593,-1659890.0,-426338.8,-222479.5,438.071,222501.0,424872.2000000002,1828350.0,174.6377995910393,337852.48545252957,0.017367796029617293,0.27969667091653605,11.0,13.0,13.0,14.0,15.0,15.0,17.0,13.990477934444241,0.9269666426033937,0.05795465347981843,-0.2058276776457233,10.2738,10.81964,10.9301,11.0537,11.1806,11.2973,12.2542,11.057179344442408,0.1888846171907347,0.15070430044206398,0.45253505062129884,0.00012207776353537203,0.0,0.0,0.05005188304950253,0.05005188304950253,0.0,0.0,0.0,0.00012207776353537203,0.9998779222364647,0.0,0.04455838369041079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-4.47378,/home/santi-simaf/Escritorio/ENERGY.PY-V2/databases/results_plus_plus/dump.ni_fcc_r0.3_c7.4_7.5_8.9.005000
